model,run,train_time,gen_time,fid_train,fid_gen,is_mu,is_sigma
ddpm,0,980.1056911945343,16.61692976951599,0.1599089503288269,0.12536442279815674,1.0028,0.0003
ddim,0,980.1056911945343,3.840048313140869,0.34934160113334656,0.2967929542064667,1.0037,0.0003
ddpm,1,1027.813621044159,16.41205334663391,0.025366025045514107,0.027105607092380524,1.0021,6.9019
ddim,1,1027.813621044159,3.6946327686309814,0.045095618814229965,0.043751418590545654,1.0022,0.0002
ddpm,2,1044.7492473125458,16.377742052078247,0.0204261876642704,0.022541137412190437,1.0021,6.6088
ddim,2,1044.7492473125458,3.6981780529022217,0.11016896367073059,0.08884505182504654,1.0029,0.0003
ddpm,3,1038.5063095092773,16.37686061859131,0.04872651398181915,0.03410131856799126,1.0024,5.6919
ddim,3,1038.5063095092773,3.6949477195739746,0.16344793140888214,0.13445746898651123,1.003,6.0093
ddpm,4,1041.3301239013672,16.415097951889038,0.0468272902071476,0.03207945078611374,1.0024,0.0002
ddim,4,1041.3301239013672,3.805436134338379,0.1687154471874237,0.1376160979270935,1.0031,0.0002
fm,0,1014.156468629837,0.0063769595623016356,0.01912730187177658,0.023328043520450592,1.0019,0.0003
fm,1,1040.0447328090668,0.006401406049728393,0.028873099014163017,0.025411482900381088,1.002,0.0001
fm,2,1039.3090388774872,0.006342378377914429,0.01798141561448574,0.015148933045566082,1.0021,0.0004
fm,3,1049.363075017929,0.0063483395576477055,0.021728061139583588,0.02213914692401886,1.002,0.0002
fm,4,1081.771463394165,0.006661401510238647,0.01640307530760765,0.02491622045636177,1.0018,0.0001
ae,0,147.1859266757965,0.0007821252346038818,0.08317475765943527,0.07415314763784409,1.0011,2.1907
ae,1,164.60849833488464,0.0008329925537109375,0.10197431594133377,0.0875784307718277,1.0011,0.0001
ae,2,163.54126739501953,0.0007687568664550781,0.09953479468822479,0.08504331111907959,1.0011,0.0002
ae,3,169.75626492500305,0.0007685210704803467,0.09284008294343948,0.0840165764093399,1.0009,2.6844
ae,4,168.1705024242401,0.0008054840564727784,0.09282488375902176,0.07981301844120026,1.0012,0.0001
